name,description,key_skills,experience_id,premium,employer_name,salary_from,salary_to,salary_gross,salary_currency,area_name,published_at
Руководитель проекта по системам связи и информационным технологиям,"Обязанности: 1.Участие в формировании политики и стратегии развития в направлении связи и ИТ(информационная безопасность,системы связи,пожарная и транспортная безопасность,СКУД); 2.Постоянный мониторинг тенденций развития новой техники,продуктов и технологий; 3.Подготовка и проведение презентаций и иных мероприятий для продвижения решений компании на современном рынке; 4.Участие и контроль за выбором,подготовкой,внедрением информационных систем (ИС),оборудования и средств связи,СПО,автоматизированных рабочих мест (АРМ); 5.Работа с Заказчиком,сторонними организациями и подразделениями компании. Требования: -высшее инженерно-техническое образование -знание и практический опыт разработки и внедрения систем связи -знание основ архитектуры и функционирования современных систем связи; -техническая грамотность; -ответственность,обучаемость,jорганизаторские способности, умение расставлять приоритеты и добиваться поставленных целей. Условия: Оформление согласно ТК РФ; 5/2,полный рабочий день в современном офисе с бесплатной охраняемой парковкой; возможны командировки; испытательный срок до 3 месяцев; Уровень ЗП обсуждается индивидуально Оплата сотовой связи Бонусы по итогам работы","Организаторские навыки
Проведение презентаций
MS PowerPoint
Информационные технологии
Аналитическое мышление
Автоматизированное рабочее место (АРМ)
техническая грамотность",between3And6,False,ПМЦ Авангард,80000.0,100000.0,False,RUR,Санкт-Петербург,18:23:06 17/07/2022
Senior Python Developer (Crypto),"With over 1,500 employees of more than 88 nationalities, Exness is the place for global teamwork, incredible leadership, a learning culture, and constant development. Unlimited by time zones, Exnessians from around the world have worked seamlessly together since 2008 to provide our traders with the best possible trading experience. Today, we stand proud with over 300,000 active traders and 2.5 trillion USD in monthly trading volume. Your role at Exness: We are looking for an experienced Python Engineer to join our Exness Technology team. The role will be focused on the implementation of complex business logic inside web stack in the area of financial and crypto markets. Working side-by-side with Product Managers, connecting ideas to the customers in the most optimal way. We&#39;re looking for a person who will extend, optimize, and support the production of the existing software solutions, ensuring we capture as much value from the market as possible. You will research and innovate new ideas in high reliable, low-latency, and high-load computing in financial markets. What You will do:  Software development; Highload and high available web stack services to support various customer journeys (Payments management); Supporting and back-office interfaces (Personal Area, Payment Solutions, Back Office); Blockchain and cryptocurrencies integration and development Internal auxiliary libraries, tools, integrations, interfaces, and frameworks supporting all components and services.  What you need to succeed:  You’re passionate about building a trading product that brings the world together; You have 5 years of commercial software development using Python and have excellent knowledge of its stack; You have a solid knowledge of general Computer Science and working experience with various system designs and integrational patterns, You have solid experience with ORM, DBMS, including database architecting; You cultivate DevOps culture and usage of relevant tools. You have solid experience with Operating Systems, Networking Models, virtualization, and containerization; You cover your software by unit tests, have experience in integrational and load tests; You can successfully interact with business functions using the English language.  Nice to have:  Knowledge and experience in cryptocurrencies integration (Ethereum/Bitcoin) Commercial experience with Go; Experience acting as a code reviewer; Experience in debugging, profiling, and code optimizations; Highload, concurrency &amp; multithreading backend systems development; Microservice development experience.  What we offer:  A fairly estimated and attractive package (competitive salary based on your expectations and internal benchmark) with the ability to start working remotely anywhere in the world; Company Car - the company will provide Exness-branded cars to those who relocated, parking near the office or a bus tickets; We’ll pay school or kindergarten fees (Annual Registration or Tuition Fees, Regular term fees, Half day service to kindergartens) for your children between 0 years - 18 years, up to three (3) children; L&amp;D - support your need to replenish your knowledge and acquire new skills to do your job better via: Continuous product education, Professional training &amp; Certifications, Soft skill training, Language classes, and our very own Exness library; Sports Benefits - Our very own Sports Club with dedicated coaches doing group and individual training, on-site and online, sharing healthy recipes and life hacks + Free Sanctum Club Membership for you and your spouse. Jet Skis (if you have a speed boat operator license); Medical - in addition to having a Corporate Doctor, we cooperate with one of the biggest international insurance companies in order to provide medical insurance for you and your families. Coverage is provided for you, your spouse, and your children up to 18 years old. It includes Inpatient, Outpatient, and international support.Sounds like you? Apply and we will arrange a video call:)       ","Development
Python
Agile
Blockchain
Information Technology",moreThan6,False,EXNESS Global Limited,4500.0,5500.0,False,EUR,Москва,18:23:15 05/07/2022
HTML-верстальщик,"Какие задачи необходимо будет решать:•HTML адаптивная и кроссбраузерная верстка страниц и компонентов по макетам - figma, zeplin, psd;•Изменение стилистики сайта в режиме реального времени;•Создание landing page по дизайн-макетам;•Тестирование верстки в разных браузерах. Вы нам подходите, если у вас есть:•Опыт работы с Vue от 2 лет;•Работа с HTML5, CSS3;•Адаптивная и кроссбраузерная верстка из figma, zeplin, psd макетов;•Опыт применения CSS animations для создания сложных анимаций без использования дополнительных библиотек;•Опыт работы с препроцессорами (SASS, LESS);•Владение Adobe Photoshop на уровне нарезки макета;•Опыт использования методологии БЭМ;•Базовые знания JavaScript;•Знание Git; Будет весомым плюсом:•Опыт работы с Vuetify;•Опыт написания unit-тестов (используем jest);•Умение работать с системами сборки Gulp, Grunt или Webpack;•Опыт работы с Sketch, AvOcode. Что мы предлагаем:• график работы: 5/2, Пн – Пт с 10:00 до 19:00;• оформление по законодательству Республики Беларусь;• бесплатная парковка;• курсы английского языка в офисе компании;• интересные корпоративные мероприятия;•100% оплата больничных, отпусков, 3 sick days;• поддержка со стороны компании стремления к обучению, оплата обучения;• комфортные условия работы (современный новый офис с террасой в Бизнес-центре «Forum Plaza», пер. Козлова, 25, современная техника, оборудованная кухня, где всегда всё наличии).","CSS3
HTML5
jQuery
Less
Bootstrap
Vuetify
Vue
Jest",between1And3,False,МАКСБИТСОЛЮШЕН,3000.0,5000.0,False,BYR,Минск,18:24:55 05/07/2022
HTML-верстальщик (remote),"Данная позиция предполагает формат работы «full-time». Мы рассматриваем полностью удаленный формат работы (home-based).Что у нас есть:•Наша компания является резидентом Парка Высоких Технологий.•Интересные задачи, коллектив профессионалов, четкие цели и свежие взгляды на разработку.•Мы занимаемся разработкой новых и технически сложных развлекательных онлайн-проектов, ориентированных на международную аудиторию (онлайн-игровое направление).•Глубокая экспертиза в создании высоконагруженных порталов позволяет создавать современные веб-решения, реализованные на свежих идеях.•Наша команда активно расширяется, и мы приглашаем HTML-верстальщика, для участия в разработке нашего продукта. Какие задачи необходимо будет решать:•HTML адаптивная и кроссбраузерная верстка страниц и компонентов по макетам - figma, zeplin, psd;•Изменение стилистики сайта в режиме реального времени;•Создание landing page по дизайн-макетам;•Тестирование верстки в разных браузерах. Вы нам подходите, если у вас есть:•Опыт работы с Vue от 2 лет;•Работа с HTML5, CSS3;•Адаптивная и кроссбраузерная верстка из figma, zeplin, psd макетов;•Опыт применения CSS animations для создания сложных анимаций без использования дополнительных библиотек;•Опыт работы с препроцессорами (SASS, LESS);•Владение Adobe Photoshop на уровне нарезки макета;•Опыт использования методологии БЭМ;•Базовые знания JavaScript;•Знание Git; Будет весомым плюсом:•Опыт работы с Vuetify;•Опыт написания unit-тестов (используем jest);•Умение работать с системами сборки Gulp, Grunt или Webpack;•Опыт работы с Sketch, AvOcode. Что мы предлагаем:•Фиксированный оклад (по результатам встречи);•График работы: 5/2 Пн – Пт с 10:00 до 19:00;•Оформление по ТК РФ;•Своевременная выплата заработной платы;•Неограниченные перспективы карьерного и профессионального роста;•100% оплата больничных, отпусков.","CSS3
HTML5
jQuery
Less
Bootstrap
Vuetify
Vue",between1And3,False,МАКСБИТСОЛЮШЕН,90000.0,150000.0,False,RUR,Москва,18:26:14 05/07/2022
Information Security Policy Specialist (Methodology),"With over 1,500 employees of more than 88 nationalities, Exness is the place for global teamwork, incredible leadership, a learning culture, and constant development. Unlimited by time zones, Exnessians from around the world have worked seamlessly together since 2008 to provide our traders with the best possible trading experience. Today, we stand proud with over 300,000 active traders and 2.5 trillion USD in monthly trading volume. Your role at Exness: Information Security Policy Specialist is a core role in the Information Security Department. You will be involved in the complete development of general and technical policies and the preparation of compliance. We are at the very beginning of the journey of building this huge security department. We have gathered the best specialists on the market to assemble a large team of security experts. Join the team now and you will have the opportunity to build a bright career and one of the best security offices in IT. You will:  Translate recommendations from subject matter experts, vendors, and industry standards, guidelines, and best practices into high-quality, coherent information security policies, standards, and guidelines; Development and maintenance of practice-driven information security policies, standards, and guidelines (in English and Russian); Harmonize content of IS documents and materials with other Exness policies and standards, ISO/IEC 27001/27002 information security standard, as well as information security regulatory requirements; Collaborate with Information Security, Technology, Legal, Data Governance &amp; Management teams; Write, edit and maintain IS documentation, awareness, and training materials for internal business users, IT professionals, and Exness leaders; Verify the relevancy and accuracy of IS documentation and awareness materials; Brainstorm, recommend, and implement improvements to IS documentation, awareness materials, internal team programs, frameworks, and processes.  The ideal candidate:  At least 3 years of practical experience in Information Security, of which at least two years as a security methodology specialist; Knowledge of information security policies/principles of handling and protecting information; Knowledge and understanding of the requirements of foreign security standards (GDPR, ISO 27001/27002, PCI DSS, etc., NIST recommendations, CIS Benchmarks); Ability to organize, structure, and prioritize information from multiple sources; Must be able to work independently and with minimal direct supervision; Focused on how to best convey information clearly and concisely; Systems thinking and attention to details; General acquaintance with regulatory frameworks and compliance requirements associated with financial services is a plus; Strong English language skills.  Would be a plus  Information security &amp; IT certifications; Project management certifications; Well-developed soft skills.  What we offer:  A reasonably estimated and attractive package (competitive salary based on your expectations and internal benchmark) with the ability to start working remotely anywhere in the world; Company Car - the company will provide Exness-branded cars to those who relocated, parking near the office or a bus tickets; We’ll pay school or kindergarten fees (Annual Registration or Tuition Fees, Regular term fees, Half day service to kindergartens) for your children between 0 years - 18 years, up to three (3) children; L&amp;D - support your need to replenish your knowledge and acquire new skills to do your job better via Continuous product education, Professional training &amp; Certifications, Soft skill training, Language classes, and our very own Exness library ; Sports Benefits - Our very own Sports Club with dedicated coaches doing group and individual training, on-site and online, sharing healthy recipes and life hacks + Free Sanctum Club Membership for you and your spouse. Jet Skis (if you have a speed boat operator license) ; Medical - Besides having a Corporate Doctor, we cooperate with one of the biggest international insurance companies to provide medical insurance for you and your families. Coverage is provided for you, your spouse, and your children up to 18 years old. It includes Inpatient, Outpatient, and international support.Sounds like you? Apply and we will arrange a video call:) ","PCI DSS
GDPR
ISO 27001/27002
Security",moreThan6,False,EXNESS Global Limited,4500.0,6000.0,False,EUR,Москва,18:28:46 05/07/2022
Рабочий по комплексному обслуживанию зданий,"Обязанности: выполнение несложных строительных видов работ   Требования: ответственность, трудолюбие   Условия: пятидневная рабочая неделя, возможный график 2/2  ","Пользователь ПК
Работа в команде
Быстрая печать
Работа в условиях многозадачности
Работа с компьютером",noExperience,False,"ФГБУ Объединенный санаторий Сочи, УДП РФ",25000.0,27000.0,False,RUR,Сочи,18:32:27 05/07/2022
Инженер по ремонту ККТ,"Обязанности: В компании открыта вакансия - Выездной инженер по кассовым аппаратам Эвотор, Атол, Штрих.Самые популярные кассы - Эвотор и Атол занимают основную долю парка ККТ. Нам нужен сотрудник, который не побоится решать вопросы, связанные с ремонтом и обслуживанием кассовой техники, регистрацией в ФНС и заменой ФН.  80% - это выезды к клиентам для ремонта, замены ФН, регистрации кассы в ФНС, проведению обучения, подключению оборудования; установка клиентам приложений на онлайн-кассе Эвотор (поможем освоить) консультирование клиентов по телефону, либо удаленное подключение для устранения неполадок; подключение и настройка ЭЦП, честного знака, ЭДО; настройка обмена с 1С и простые автоматизации на основе 1С и Фронтол выполнение поручений Руководителя Сервисной службы работа с оборудованием: установка приложений, обновление касс под актуальную прошивку, знание списка совместимого оборудование  Требования:  Знание кассовой техники АТОЛ, ЭВОТОР, ШТРИХ коммуникабельность исполнительность и ответственность работа в команде заинтересованность в работе идейность опыт работы в кассовой сфере не менее 1 года  Условия:  возможность заниматься любимым делом в команде профессионалов оплата мобильной связи, проезда для выезда к клиентам комфортабельный офис, 7 минут от метро Перово выходные сб-вск столовая с вкусной едой в здании бизнес-центра, около офис повышение квалификации за счет периодического обучения и семинаров дружный и сплоченный коллектив коллектив ","Выездное обслуживание
Настройка ПК
Техническое обслуживание
Настройка ПО
Ремонт ПК
ЭЦП
ЭДО
Работа с кассовым аппаратом
Общение с клиентами
Умение работать с клиентами",between1And3,False,Сервисный центр ЭКСПЕРТ,40000.0,60000.0,False,RUR,Москва,18:32:41 05/07/2022
Инженер технической поддержки/HelpDesk,"Компания ООО «Корпоративные Решения» проводит отбор на вакансию инженер технической поддержки/ HelpDesk Основные направления деятельности компании: • Проектная-дистрибуция (первый поставщик) продукции Lexmark (оптовые продажи и гос. заказы) • Проектная-дистрибуция (первый поставщик) программного обеспечения и готовых решений Lexmark (инсталляция, сопровождение, курирование, обслуживание) • Сервисный Центр (гарантийное и после гарантийное обслуживание печатного оборудования, программного обеспечения и расходных материалов Lexmark) Головной офис и Сервисный центр, а также склады компании находятся в г.Минске. В г. Гомеле, г.Бресте, г.Гродно, г.Витебске, г.Могилеве работают Представительства компании (филиалы) и Сервисные центры. Обязанности:  Техническая поддержка клиентов компании. Прием входящих звонков от клиентов компании. Исходящие звонки клиентам компании в рамках горячих звонков.  Требования:  Хорошо поставленная речь и коммуникабельность. Аналитический склад ума. Презентабельный внешний вид. Наличие инициативы и участия в процессе. Высокая способность к многозадачности. Наличие технического образования приветствуется.  Условия:  Новый, комфортабельный офис в бизнес - центре по адресу Тимирязева. (в распоряжении комфортабельный конференц-зал для встречи делегации клиентов, уютная комната переговоров для встречи клиентов, Демо-зал, просторный офис, ресепшен, видео-пропускная система входа). Новый , комфортабельный сервисный центр в бизнес - центре по адресу Тимирязева (располагается напротив головного офиса компании). Оборудованное рабочее место. Рабочий моноблок. Рабочий мобильный телефон + оплата мобильной связи. Участие выставках от производителей из портфеля компании. Сервисный центр закрытого типа – работа исключительно с корпоративными клиентами компании (юридические лица) График работы: 8.30-17:30, обед 13:00-14:00 Условия оплаты и карьерный рост:Инженер технической поддержки/ HelpDesk - стажер – 1 040 (испытательный срок 3 месяца)Инженер технической поддержки/ HelpDesk – 1 170 рублей на рукиВедущий инженер технической поддержки/ HelpDesk – 1 430 рублей на руки ","Обучаемость, Стрессоустойчивость, Уверенность в себе",noExperience,False,Корпоративные Решения,1040.0,1430.0,False,BYR,Минск,18:32:50 17/07/2022
Reporting and Visualization Analyst (BI),"With over 1,500 employees of more than 88 nationalities, Exness is the place for global teamwork, incredible leadership, a learning culture, and constant development. Unlimited by time zones, Exnessians from around the world have worked seamlessly together since 2008 to provide our traders with the best possible trading experience. Today, we stand proud with over 300,000 active traders and 2.5 trillion USD in monthly trading volume. Your role at Exness: Our Reporting and Visualization Analyst is a core role in the Business Analysis &amp; Reporting Team, part of the Data Office department. The selected candidate will be reporting to the Business Analysis &amp; Reporting Team Lead and will be engaged in the activities and projects of all cross-functional business domains within the Business Intelligence department. You will:  Define business and data requirements to provide practical self-service data analysis and reporting automation through constant collaboration with BI analysts and key stakeholders. Build and maintain reports and dashboards in Tableau, Metabase, and other BI tools. Streamline and automate existing management and operational reports. Regularly monitor, analyze and explain the behavior of KPIs and metrics in key business domains and effectively communicate insights to the management and key stakeholders. Translate data analysis and data insights into visuals for non-technical audiences. Ensure data and metrics numbers consistent across all data sources and reports provided by the team. Provide workshops on BI data/ instruments and various data insights. Provide daily support to business users with issues/ questions related to BI reporting and visualization instruments.  The ideal candidate:  3+ years of experience in business reporting automation and dashboarding. Strong knowledge of SQL. Strong data visualization skills, including proficiency in Tableau Desktop is a must. Experience with analytical database design and data architecture. Basic knowledge of mathematical statistics is a must. Mathematical/ engineering education would be an advantage. Good customer management skills (to understand the needs of stakeholders and manage their expectations). Excellent verbal and written communication skills. At least upper-intermediate English knowledge. Knowledge of Russian would be an advantage but is not mandatory.  What we offer:  An amazing work culture with the ability to thrive and grow within the company Medical insurance for employees, spouse and children including dental and optical Reimbursement of home working equipment Reimbursement of co-working expenses &#39;Get to know your Team&#39; Trip to Cyprus or full relocation support to Cyprus if needed Sports activities compensation Birthday, marriage and baby delivery bonus Extensive learning opportunities and professional development Language courses allowance Flexible public holidays 21 days annual leave, paid sick leave and maternity leave Flexible public holidays and Christmas breakSounds like you? Apply and we will arrange a video call:) ","Tableau
Английский язык
SQL
Analytical skills
Reporting
Design
Data Analysis",moreThan6,False,EXNESS Global Limited,4000.0,5000.0,False,EUR,Москва,18:33:17 05/07/2022
Руководитель - администратор магазина компьютерной техники,"Здравствуйте, уважаемые соискатели! Внимание! Вакансия открыта до 15 мая. Меня зовут Владимир Олегович. Я являюсь основателем компании Reload Computers. Мы одна из лучших компаний в Москве и МО, которая специализируется на выкупе и продаже поддержанной компьютерной техники . За 5 лет мы выросли из маленького офиса на 10 м2 и нескольких клиентов в офис на 140 м2 и более 1000 клиентов по всей России. Мы продолжаем рости и для этого собираем новую команду на 2022-2023 год. Я хочу чтобы частью этой команды стал ответственный, профессиональный и надежный руководитель, который будет помогать мне развивать компанию дальше.  Гарантирую вам своевременную выплату ЗП! ЗА 5 года у нас не было задержек. ЗП складывается из оклада 70 000 руб. + бонусы от показателей прибыли. Комфортное рабочее место. Отдельный кабинет со всем необходимым оборудованием. Адекватный и дружественный коллектив. Мы помогаем друг другу становиться лучше и не создаем сложностей. Развивающую и интересную работу. В процессе работы вы будете взаимодействовать с отделом закупок, отделом продаж и производством и будете обучаться дополнительным полезным навыкам в работе с компьютерной техникой.  Нам требуется руководитель:   С опытом работы в сфере администрирования от 5 лет. C опытом выстраивания отделов закупок и отделов продаж. С опытом найма специалистов. С опытом работы с дистрибьюторами и поставщиками. С опытом работы на руководящих должностях со штатом от 15 человек. С опытом работы с компьютерной техникой, понимание компьютерного железа и устройств. Мне важно чтобы вы общались с коллективом и клиентами на одном языке. С опытом работы в 1С, Мой Склад или другими системами автоматизации склада, продаж и бухгалтерии. Мы регулярно внедряем системы автоматизации и мне требуется чтобы вы уже понимали как они работают, как в них работать и что это дает бизнесу. Наличие рекомендаций с прошлых мест работы обязательно! Опыт работы в компьютерных магазинах и торговых организациях обязателен!    Ваши обязанности:  Найм персонала и обучение; Выполнение планов по показателям; Контроль работы с подрядчиками; Ежедневное составление отчетности о работе магазина; Контроль соблюдения регламентов сотрудниками; Контроль работы отдела продаж и отдела закупок; Организация работы офиса и сотрудников, закупка расходников, оплата сервисов; Поддержание порядка, наполнение витрины и подсортировка;  Условия  График работы 5/2, с 10:00 до 19:00; Оклад 70 000 руб. + бонусы от прибыли (средняя ЗП от 100 000 рублей) Адекватное и честное начальство; Перспектива роста и развития; Скидки на товары компании.  Если вы внимательно прочитали и изучили вакансию напишите в сопроводительном письме &quot;Я все внимательно изучил.&quot; Ждем ваших резюме!","Обучение персонала
1С: Торговля
1С: Розница
Обучение и развитие
1С: Склад
Администрирование
Опыт продаж
Навыки межличностного общения
Умение работать в команде
Обеспечение жизнедеятельности офиса
Управление магазином
Развитие продаж
CRM
Internet Marketing",between3And6,False,Осин Константин Викторович,80000.0,150000.0,False,RUR,Москва,18:33:37 05/07/2022
