Название,Описание,Навыки,Опыт работы,Премиум-вакансия,Компания,Оклад,Название региона,Дата публикации вакансии
Web-программист,"NEW! Web-программист(без опыта и с опытом)   Обязанности: - верстка сайтов на основе готовых макетов PHP, HTML и CSS - подключение собственной системы управления(обучение) - развитие собственного движка и системы управления - установка движка организации на проектах (обучение) Требования:  PHP7.4+ (знания ООП и паттернов проектирования) MySQL(MariaDB,PostgresQL) CSS(LESS,SASS) JS(TypeScript,NodeJS) знание основ Figma / Photoshop(для верстки с макетов из PSD) остальное при собеседовании.  Условия: - работа с офисе на Московское шоссе (удаленка после испытательного срока) - 5 дней с 9-00 до 18-00 (после вхождения в работу график может быть плавающим) - чай кофе печеньки - дружный коллектив - отпуск ежегодный оплачиваемый   В целом рассматриваем как с опытом работы так и без опыта. Если человек готов учиться и развиваться, он предан и любит программировать и верстать сайты мы его научим и подготовим за счет компании.   Испытательный срок от 2 до 4 недель(при собеседовании) Зарплата 2 раза в месяц: аванс и оклад. Оклад фиксированный + % от объема выполненных задач за месяц.","Управление проектами, Ведение переговоров, Разработка ПО, Разработка технических заданий, Управление интернет-проектами, Разработка концепции, Информационные технологии, Организаторские навыки, Проведение презентаций, Обучение персонала, Английский язык, Работа в команде, Подбор персонала",Нет опыта,Нет,Асташенков Г. А.,30 000 - 80 000 (Рубли) (С вычетом налогов),Ульяновск,17:32:31 31/05/2022
Специалист в отдел информационного развития (Junior),"Обязанности:   Работа с конфигурацией 1С Предприятие 8.3;   Создание отчетов в 1С;   Прямое общение с пользователями для формирования ТЗ;   Прямое общение с разработчиками для объяснения ТЗ;   Администрирование 1С, контроль производительности, оптимизация работы;   Обнаружение и исправление сбоев 1С, СУБД;   Консультация и поддержка пользователей   Требования:   Знание основ бухгалтерского, финансового, налогового, кадрового учета;   Опыт работы с типовыми конфигурациями 1С Предприятие 8.3;   Опыт администрирования СУБД;   Знание одной из конфигураций: ERP, КА;   Аналитический склад ума;   Ответственность, коммуникабельность   Будет плюсом:   Сертификат аттестации 1C   Знание конфигураций: ERP, КА   Условия:  Официальное оформление с полным соблюдением ТК РФ; Рабочий день с 09-00 до 17-30 по графику 5/2; Оборудованное рабочее место - производительный компьютер, телефон, корпоративная мобильная связь; Возможность повышения квалификации, обучение за счет компании; Выплаты з/п 2 раза в месяц, без задержек; З/п от 45 тысяч рублей по результатам собеседования","1С: Предприятие 8, ERP-системы на базе 1С, 1С программирование, Создание конфигурации 1С",От 1 года до 3 лет,Нет,Стройатомсфера,45 000 - 60 000 (Рубли) (С вычетом налогов),Воронеж,17:32:41 31/05/2022
Инженер по нагрузочному тестированию,"Вам предстоит:  Работать в составе команды опытных инженеров нагрузочного тестирования (будет daily meeting), которая занимается тестированием модельных подсистем в составе большой микросервисной АС. Разрабатывать и актуализировать средства автоматизированного нагрузочного тестирования. Скрипты, заглушки, инструменты тестирования и обработки данных. Тестировать компоненты ПО в соответствии с планом работ релизного цикла и требованиями методик испытания. Документировать ход тестирования (confluence) и регистрировать дефекты (Jira). Дорабатывать и изменять методики испытаний исходя из требований и выявленных дефектов (confluence). Автоматизировать типовые задачи разработки или тестирования по своему направлению. Jenkins CI/CL. Общаться с продуктовой командой разработки приложения по найденным дефектам производительности, тонкостям работы application, эмуляции бизнес-процессов.    Требования:    Опыт выполнения проекта по нагрузочному тестированию от 1 года (разработка скриптов, эмуляторов, утилит генерации тестовых данных).   Знание одного из языков программирования JAVA, C#, Perl, Python, C++ на уровне не ниже среднего. Опыт работы с одной из СУБД: Oracle, MSSQL. Опыт работы с ОС Unix (HP-UX, AIX), Windows. Опыт работы с технологиями/протоколами: WEB, SOAP, REST, JSON, XML Опыт работы c git Опыт работы с Jira, Confluence Знание SQL на уровне DML/DDL Знание основ регулярных выражений Perl Опыт работы (на уровне анализа информации на преднастроенной панели данных) с инструментами мониторинга (Grafana, Zabbix) Желателен опыт работы (анализ, добавление, поиск, чтение данных в базе) с Influx DB. MS Word, Excel на уровне продвинутого пользователя. Знание продуктов MF Performance Center, MF Load Runner.  Будет плюсом:  Опыт в IT подразделениях банковской сферы. Знание методологий тестирования  Мы предлагаем:  Возможность работать в офисе или по смешанному формату (офис/удаленка); Быструю адаптацию благодаря программам обучения; Команду Agile, готовую поддержать ваши инициативы; Прозрачную систему бонусов и премий; Мощное железо; Доступ к базе знаний Корпоративного университета; Масштабные и высоконагруженные проекты с использованием новых технологий;; Трудоустройство согласно трудовому кодексу; Отсутствие строгого дресс-кода Нематериальная мотивация (ДМС доступен с первого дня работы, Бесплатная подписка СберПрайм+; Льготные ставки по ипотеке «ДомКлик»; Льготные ставки по потребительским кредитам; Бесплатный тренажерный зал)","Java, SQL, Git, Python, Atlassian Jira, C/C++",От 1 года до 3 лет,Нет,СБЕР,70 000 - 150 000 (Рубли) (С вычетом налогов),Санкт-Петербург,17:32:49 31/05/2022
Стажер бизнес-аналитик,"Чем предстоит заниматься?  Подготовка описания задач; Выявление и детализация требований от бизнес-заказчиков; Участие во встречах с бизнесом, технической командой и другими заинтересованными сторонами; Участие в разработке и оценке решения по задаче; Консультирование команды задачи во время тестирования.  Мы ожидаем от Вас:  В том числе выпускник/студент последнего года обучения экономического или технического ВУЗов; Аналитические способности, умение структурировать информацию; Знания основ современных ИТ-технологий; Хорошие коммуникативные навыки.  Своему будущему Юникуму мы готовы предложить:   Начало стажировки - 1июля;   Срок окончания - 28 декабря;   Стажировка оплачиваемая: 50 000 руб. до вычета налогов (при условии полной занятости);   Гибкий график для тех, кто учится;   Оформление в штат Банка;   ДМС и бесплатные обеды (при работе в офисе);   Тренинги по развитию софт скиллс;   Возможность продолжить карьеру в рамках крупнейшего международного Банка.","Техническое обслуживание, Настройка ПК, Ремонт ПК, Настройка сетевых подключений, Настройка ПО",Нет опыта,Нет,UniCredit Bank,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:32:50 31/05/2022
Middle system analyst / системный аналитик (SA),"Cotvec - IT-компания, которая занимается консалтингом и разработкой программного обеспечения для организаций банковско-финансового сектора. Мы гордимся нашей молодой, сплоченной и профессиональной командой, которая с каждым днем повышает свои компетенции, генерирует яркие идеи и находит эффективные пути реализации даже самых нестандартных задач. Мы ищем middle/middle+ system analyst Обязанности: - Сбор, формализация, согласование, оценка (трудозатраты) требований к функционалу разрабатываемой системы;- Формирование требований к интеграционному взаимодействию системы;- Описание ожидаемого поведения функционала разрабатываемой системы;- Постановка задач на разработку, поддержка разработки;- Участие в проведении тестирования разработанного функционала,- Сдача работы заказчику, проведение демонстраций функционала;- Разработка проектной и сопроводительной системной документации в Jira/Confluence, в т.ч. детальных схем процессов и алгоритмов;- Коммуникация с другими командами разработки, аналитиками. Необходимые навыки: - Понимание принципов разработки ПО: этапы и участие в них аналитика, клиент - серверное взаимодействие, особенности работы веб и мобильных приложений;- Знания/практический опыт работы с UML (диаграмма баз данных, диаграмма состояний и переходов, диаграмма последовательности и др.).- Знание/практический опыт работы с SQL- Опыт постановки задач разработчикам.- Понимание технологий интеграции REST, SOAP и форматов обмена данными XML/XSD, JSON/JSON-Schema.- Навыки работы с нотациями (BPMN, IDEF0 и др.).- Навыки работы с инструментами прототипирования и проектирования пользовательского интерфейса (Figma, Axure RP).Будет плюсом:- Опыт проектирования БД (SQL/NoSQL), опыт написания простых/средней сложности запросов в БД.- Опыт участия в проектирования архитектурных решений и описания интеграционных взаимодействий Условия: - Для сотрудников компании предусмотрена компенсация медицинского обслуживания в рамках программы Добровольного медицинского страхования;- Заработная плата привязана к курсу доллара (по уровню заработной платы отталкиваемся от пожеланий кандидата);- Возможность работать по гибридному графику работы или удалённо (обсуждается с руководителем);- 29 календарных дней трудового отпуска;- 100% оплата больничного с первого дня;- Уютный офис с оборудованным рабочим местом, кухней и зоной отдыха;- Материальные выплаты к памятным датам;- Внешнее и внутреннее корпоративное обучение;- Корпоративная программа лояльности;- Корпоративная библиотека;- Корпоративные мероприятия, тимбилдинги.","UML, XML, SQL, Atlassian Jira, SOAP, REST, Xsd, JSON API",От 1 года до 3 лет,Нет,Котвек,70 000 - 150 000 (Рубли) (С вычетом налогов),Минск,17:33:08 27/06/2022
Сервисный инженер,"СФЕРА ДЕЯТЕЛЬНОСТИ КОМПАНИИ «ЛАНТЕР» - поставка POS-терминалов, создание интеграционных платежных решений для систем самообслуживания (паркоматов, киосков самообслуживания), создание программных продуктов и решений для эквайринга. Обязанности  Техническое обслуживание POS-оборудования на территории Заказчика; Замена расходных материалов; Диагностика неисправностей; Заполнение сопутствующей документации.  Условия  Проектная деятельность, оформление по ГПХ или по договору самозанятости; Фиксированная оплата со стабильными выплатами; Гибкий график; Обучение по всему спектру работы; Техническая поддержка со стороны компании при работе.  Требования  Уверенное знание персонального компьютера (на уровне настройки локальных домашних сетей); Опыт ремонта офисной техники, бытовой электроники или другого оборудования приветствуется; Обучаемость, ответственность, пунктуальность.","Техническое обслуживание, Настройка ПК, Ремонт ПК, Настройка сетевых подключений, Настройка ПО",От 1 года до 3 лет,Нет,ЛАНИТ,70 000 - 150 000 (Рубли) (С вычетом налогов),Сочи,17:38:40 31/05/2022
Инженер по информационной безопасности,"«Самокат» — это технологическая компания и один из самых быстро растущих проектов в России. Мы меняем индустрию покупки товаров и продуктов для дома. Наша задача разработать технологическую платформу для того, чтобы обеспечить доставку продуктов и товаров в любую точку города за 15 минут. Достигать этой цели нам помогают продукты, разрабатываемые командами разработки. Они управляют практически каждым аспектом нашей деятельности: от прогнозирования спроса и закупки товаров у поставщиков до сборки и доставки заказов покупателям. Это Джарвис в мире ритейла. Как любая сложная система, он представляет собой не только сервисы и приложения, созданные разработчиками, но и окружающую их инфраструктуру. Мы ищем человека, который разделит ответственность за эту часть продукта. Чем предстоит заниматься:  Внедрение и администрирование средств обеспечения ИБ; Автоматизация процессов ИБ; Аудит ИТ решений в части соответствия тех.требованиям ИБ; Участие в разработки архитектуры сетей и инфраструктуры; Проведение сканирования и автоматизированных тестов ИБ; Оформление технической документации.  Что вы от вас ожидаем:  Высшее техническое образование в области ИТ или ИБ; Опыт работы в области ИБ\ИТ не менее 2 лет; Опыт работы с периметровыми средствами защиты antiDDoS, WAF, NGFW; Знание ОС Windows, Linux, сетевых протоколов; Практические знания по организации сетей и сервисов инфраструктуры, а также методов их защиты; Практические знания по настройке: сетевого оборудования; операционных систем, ролей, групповых политик; антивирусных решений, решений резервного копирования; Практические опыт автоматизации своих процессов с помощью Python, Bash, PowerShell и т.д.  # Будет плюсом:   Практический опыт использования сканеров уязвимостей; Опыт в расследовании инцидентов ИБ; Знание систем управления конфигурациями (Ansible, Puppet); Знание принципов и инструментов совместной разработки (git), CI/CD.  Что мы предлагаем:  Полностью удаленный процесс интервью и принятия решения. Удаленная работа на время карантина и в будущем посещение офиса только если это правда необходимо. Наши офисы находятся в Питере (“Лангензипен”, м. Горьковская) и в Москве (Трехгорная мануфактура, м. Баррикадная или м. ул. 1905 года). Зарплата, которой вы достойны =). Обсуждаем с каждым успешным кандидатом индивидуально. Белая заработная плата и строгое соблюдение ТК РФ. ДМС после испытательного срока (Best Doctor).","Внешний аудит информационных систем, Linux, Python, Bash, PowerShell",От 1 года до 3 лет,Нет,Самокат (ООО Умное пространство),70 000 - 150 000 (Рубли) (С вычетом налогов),Санкт-Петербург,17:33:46 21/06/2022
Инженер по информационной безопасности,"«Самокат» — это технологическая компания и один из самых быстро растущих проектов в России. Мы меняем индустрию покупки товаров и продуктов для дома. Наша задача разработать технологическую платформу для того, чтобы обеспечить доставку продуктов и товаров в любую точку города за 15 минут. Достигать этой цели нам помогают продукты, разрабатываемые командами разработки. Они управляют практически каждым аспектом нашей деятельности: от прогнозирования спроса и закупки товаров у поставщиков до сборки и доставки заказов покупателям. Это Джарвис в мире ритейла. Как любая сложная система, он представляет собой не только сервисы и приложения, созданные разработчиками, но и окружающую их инфраструктуру. Мы ищем человека, который разделит ответственность за эту часть продукта. Чем предстоит заниматься:  Внедрение и администрирование средств обеспечения ИБ; Автоматизация процессов ИБ; Аудит ИТ решений в части соответствия тех.требованиям ИБ; Участие в разработки архитектуры сетей и инфраструктуры; Проведение сканирования и автоматизированных тестов ИБ; Оформление технической документации.  Что вы от вас ожидаем:  Высшее техническое образование в области ИТ или ИБ; Опыт работы в области ИБ\ИТ не менее 2 лет; Опыт работы с периметровыми средствами защиты antiDDoS, WAF, NGFW; Знание ОС Windows, Linux, сетевых протоколов; Практические знания по организации сетей и сервисов инфраструктуры, а также методов их защиты; Практические знания по настройке: сетевого оборудования; операционных систем, ролей, групповых политик; антивирусных решений, решений резервного копирования; Практические опыт автоматизации своих процессов с помощью Python, Bash, PowerShell и т.д.  # Будет плюсом:   Практический опыт использования сканеров уязвимостей; Опыт в расследовании инцидентов ИБ; Знание систем управления конфигурациями (Ansible, Puppet); Знание принципов и инструментов совместной разработки (git), CI/CD.  Что мы предлагаем:  Полностью удаленный процесс интервью и принятия решения. Удаленная работа на время карантина и в будущем посещение офиса только если это правда необходимо. Наши офисы находятся в Питере (“Лангензипен”, м. Горьковская) и в Москве (Трехгорная мануфактура, м. Баррикадная или м. ул. 1905 года). Зарплата, которой вы достойны =). Обсуждаем с каждым успешным кандидатом индивидуально. Белая заработная плата и строгое соблюдение ТК РФ. ДМС после испытательного срока (Best Doctor).","Внешний аудит информационных систем, Linux, Python, Bash, PowerShell",От 1 года до 3 лет,Нет,Самокат (ООО Умное пространство),70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:33:46 21/06/2022
Аналитик,"ОБЯЗАННОСТИ:  формирование внутренней аналитической отчётности по финансовым показателям; формирование управленческой отчётности по основным KPI (включая DIFOTAI); формирование структуры необходимых данных для процесса бюджетирования; Контроль расходов по отношению к бюджету; анализ отклонений основных KPI и представление информации в соответствующие отделы; подготовка ТЗ и участие в разработке и внедрении автоматизации финансовой и управленческой отчётности; участие в проектах  ТРЕБОВАНИЯ:  MS Excel продвинутый пользователь; SAP продвинутый пользователь; продвинутый пользователь Excel, сводные таблицы, сложные формулы, макросы (VBA); знание офисных специализированных программ (SAP); грамотный устный и письменный русский язык; опыт в аналитике от 3-х лет  УСЛОВИЯ:  График работы: 5/2; гарантированная своевременная заработная плата; оформление в штат компании в соответствии с ТК РФ (отпуск, больничный лист); дополнительная мотивация: бонусы по итогам годовой оценки Performance management, премии за стаж работы в компании и пр.; возможность карьерного роста; развитая корпоративная культура: дополнительный день отпуска по случаю Дня рождения, подарки по случаю рождения детей; корпоративные конкурсы и мероприятия для сотрудников и их детей; благотворительные проекты внутри компании, направленные на оказание помощи сотрудникам и членам их семей, попавшим в сложную жизненную ситуацию и пр. м. Беговая","Бюджетирование, MS PowerPoint, Управленческая отчетность, SAP, VBA, Анализ текущих финансовых показателей, Сводные таблицы, Анализ данных, Аналитика, Формирование управленческой отчетности",От 3 до 6 лет,Нет,"СНС, Группа Компаний",120 000 - 140 000 (Рубли) (Без вычета налогов),Москва,17:33:58 31/05/2022
"Руководитель направления ""Управление ИТ-услугами""/Методолог ITSM","ТПХ &quot;РУСКЛИМАТ&quot; – Компания с историей успеха в 25 лет, ведущий производитель и дистрибьютор климатического, отопительного и вентиляционного оборудования. МЫ СЕГОДНЯ:  команда единомышленников численностью более 5000 человек; номенклатура продукции свыше 70 000 единиц; 100 000 м² складских помещений; 109 филиалов в 81 субъекте РФ; 6 собственных современных заводов.  СОТРУДНИКИ - залог нашего успеха. Мы создали все условия для профессионального и личностного развития. Приглашаем Вас стать частью дружной и динамичной команды. ОБЯЗАННОСТИ:  Разработка и реализация стратегии внедрения процессов управления ИТ; Реализация проектов внедрения и совершенствование процессов управления инцидентами, проблемами, изменениями, конфигурациями и активами, управления уровнем ИТ-услуг и другими смежными процессами; Разработка, поддержание в актуальном состоянии, контроль исполнения регламентных документов; Консультирование и обучение всех участников Процессов; Разработка метрик по процессам, определение их нормативных величин; Участие в разработке систем мотивации участников Процессов в части разработки мотивационных показателей по Процессам и автоматизации процедур расчета мотивационных показателей; Развитие и оптимизация системы отчетности по Процессам; Осуществление контроля количественных и качественных показателей, при необходимости, организация мероприятий с целью улучшения показателей; Непосредственное участие в разработке/доработке средств автоматизации Процессов; Организация проведения опросов и иных мероприятий с целью оценки качества предоставляемых пользователям ИТ-услуг; Сопровождение и обеспечение бесперебойной работы системы Servicе Desk; Организация работы комитетов по Процессам, а также проведение регулярных встреч в рамках комитетов.  ТРЕБОВАНИЯ: Знания и навыки:  процессного управления в ИТ и практики применения подхода ITSM, положений библиотеки ITIL, принципов работы современных систем управления ИТ-услугами, структуры предприятия, производственных и функциональных связей между его подразделениями.  Уровень квалификации - ITIL Expert Клиентоориентированность, нацеленность на результат, отличные навыки работы в команде, целеустремленность, коммуникабельность, ответственность. УСЛОВИЯ:  Собственный офис: м. Водный стадион (15 минут пешком). График 5/2, с 10:00 до 19:00 или с 09:00 до 18:00 Оформление по ТК РФ (с первого дня работы), оплачиваемый отпуск, больничный. Развитие внутри компании: корпоративная электронная библиотека, дистанционное обучение. Корпоративная поликлиника, кафе на территории офиса. Скидки на продукцию компании. Молодой и активный коллектив. Стиль в одежде Вы выбираете сами. Возможность карьерного роста в крупной стабильной компании.","ITSM, ITIL, Управление инцидентами, разработка нормативных документов, Оптимизация бизнес-процессов, Управление изменениями",Более 6 лет,Нет,Русклимат,70 000 - 150 000 (Рубли) (С вычетом налогов),Москва,17:33:58 31/05/2022
