name,description,key_skills,experience_id,premium,employer_name,salary_from,salary_to,salary_gross,salary_currency,area_name,published_at
Руководитель группы разработчиков,"Наш клиент, один из ведущих банков страны, в поиске руководителя группы разработки для участия в масштабном высоконагруженном проекте. Основные задачи:  Организация и управление процессами анализа и формализации требований к программным продуктам и проведения их тестирования; Выполнение работ по исследованию новых технологических решений и платформ для оценки эффективности их использования в финансовой сфере; Внедрение инновационных технологий; Контроль выполнение работ; Ежемесячное планирование своей деятельности и деятельности команды, составление отчетов по ней.  Мы ожидаем от кандидата:  Опыт реализации и внедрения финтех-проектов; Опыт руководства командами разработки; Опыт работы с высоконагруженными системами; Владение Atlassian Jira, Atlassion Confluence, Redmine GitLab или аналогичными системами.  Условия:  Оформление по ТК РФ; График работы 5/2 с 8:00 до 17:00; Полноценный ДМС; Корпоративное обучение, питание и отдых. ","Работа в команде, Организаторские навыки, Управление проектами, Умение работать в условиях многозадачности",От 3 до 6 лет,Нет,Selecty,50000,130000,С вычетом налогов,Рубли,Новосибирск,22:25:19 23/04/2003
Ведущий аналитик баз данных SQL,"Крупнейший исследовательский холдинг, специализирующийся на маркетинговых, медиа и социально-экономических исследованиях в связи с расширением приглашает на работу Ведущего аналитика SQL   Обязанности:  Решение сложных аналитических задач Ведение аналитических проектов Анализ входных данных и подготовка на базе этих данных регулярных отчетов Обработка разовых запросов для клиентов, входной контроль качества данных обрабатываемых категорий Осуществление расчетов показателей для регулярных клиентских отчетов проверка результатов расчета и форматирование отчетов Разработка методик расчета для нестандартных показателей Разработка формата таблиц для новых клиентов Выстраивание работы со смежными подразделениями  Требования:  Опыт работы с различными источниками данных, в том числе с базами данных с использованием SQL, VВА, Excel Математический склад ума Хорошие аналитические навыки, внимание к деталям Умение работать с большим объемом информации Приветствуется опыт работы в сфере маркетинговых исследований  Условия:  Работа в районе м. Парк Победы/ м. Багратионовская, шаговая доступность Стабильная индексируемая заработная плата Перспектива карьерного роста и профессионального развития График работы 5/2 с 9:30 до 18:00 ч. Дружный, профессиональный и молодой коллектив ","Development, Python, Agile, Blockchain, Information Technology",Более 6 лет,Нет,М-Холдинг,70000,80000,С вычетом налогов,Рубли,Москва,02:13:50 18/02/2022
Электромеханик производства,"Группа компаний «МИАКОМ» основана в 2004 году в Санкт-Петербурге. Многолетний производственный и инженерный опыт позволяет нам предложить комплексные инженерные решения при проектировании и строительстве. Группа компаний «МИАКОМ» имеет собственный производственный комплекс в Ленинградской области, сеть филиалов и дилерскую сеть. Наш продукт. Ассортимент выпускаемой нами продукции уникален и разнообразен. Продукция изготавливается под различные требования заказчиков и позволяет решать задачи любой степени сложности. Мы производим следующие материалы - тканый геотекстиль, георешетки (геосетки) и геокомпозиты; строительные фасадные и кладочные сетки; объемную георешетку; противоэрозионные геоматы и многое другое. Также мы разрабатываем и производим изделия и конструкции, применяемые в качестве водопропускных сооружений, переходов для пешеходов и животных, мостов и транспортных тоннелей. Круг выполняемых задач:   Проведение требуемых работ в сфере эксплуатации электротехники;   Выполнение измерений и вычислений в области своей деятельности;   Выявление неполадок в электрооборудовании и принятие мер по их ликвидации;   Проведение текущего осмотра и тестирования электрооборудования;   Проверка соответствия параметров электрооборудования тем, которые заявлены в технической документации;   Выполнение работ по подготовке к эксплуатации нового электрооборудования;   Требуемая настройка электрооборудования;   Внедрение в практику передовых методов проведения электромеханических работ;   Монтаж и демонтаж электрооборудования;   Обеспечение грамотной эксплуатации приборов и инструментов.   Мы ждем от кандидата:   Среднее специальное/профессиональное, высшее образование, специализация &quot;Электромеханик&quot;, &quot;Техник-механик&quot;, &quot;Инженер-механик&quot;;  Опыт работы в соответствующей должности – от 2 лет;  Знание специфики работы механизмов различной сложности;   Знание устройства производственного оборудования.   Мы предлагаем:   Работу в Российской производственной компании с 18-летней историей, входящей в тройку лидеров своего сегмента;  Быть частью коллектива, который работает для того, чтобы приносить пользу людям; Отношения в компании строятся на доверии, что позволит каждому сотруднику быть самостоятельным и нести ответственность за принятые решения; Возможность повышения квалификации, профессионального уровня и обучения за счет компании в специализированных для этого организациях; Подарок в день рождения каждому сотруднику;     Официальное трудоустройство в соответствии с ТК РФ; Отпуска и больничные согласно законодательству; Полностью официальная заработная плата; Уровень заработной платы составляет 50 000 рублей на испытательный срок, 55 000 рублей после него; Заработная плата выплачивается 2 раза в месяц - 10 и 25 числа; График работы: 2/2 с 09:00-21:00; Бесплатные обеды; Иногородним кандидатам предоставляем общежитие; Работа на производственной площадке в гп. Рощино (Ленинградская область, Выборгский район).  Будем рады видеть Вас в рядах нашей команды профессионалов!","Умение работать в команде, Техническая эксплуатация, Навыки составления отчетности, Пуско-наладочные работы, Ремонт оборудования, механик, электромеханик",От 1 года до 3 лет,Нет,МИАКОМ,50000,80000,С вычетом налогов,Рубли,Рощино (Ленинградская область),23:58:46 23/10/2009
Менеджер по ведению справочников,"О компании: «АйДи-360» входит в группу компаний, занимающих лидирующие позиции в области digital и омниканального маркетинга в сфере здравоохранения на протяжении уже более 10 лет. Компания осуществляет деятельность по разработке и применению информационного и программного обеспечения, направленного на комплексное изучение фармацевтического рынка Российской Федерации, а также на развитие и внедрение компьютерных технологий в медицине и фармации. Приходя в нашу компанию, вы увидите молодой и целеустремленный коллектив, процессы направленные на ускорение работы и получения результата. Обязанности:  Сопровождать и поддерживать справочники аналитических продуктов; Проверять существующую и вносимую информацию в справочники на предмет наличия ошибок, полноты и достоверности; Выявлять дубликаты недостаточно/некорректно описанных SKU и др. элементов справочников, уточнять параметры элементов справочников в открытых источниках, компаниях-фармпроизводителях, реестре ГРЛС; Разрабатывать структуры справочников разной направленности; Проводить первичную оценку справочников потенциальных проектов; Готовить предложения по классификации и нормализации по действующим и новым исследованиям; Взаимодействовать со всеми структурными подразделениями в части ведения и использования нормативно-справочной информации.  Требования:  Высшее фармацевтическое/медицинское/экономическое/техническое образование, с опытом работы в аптечных сетях или аналитических агентствах Знание основного ассортимента аптек, понимание особенностей различных видов товаров Опыт и знание работы с реестрами/классификаторами (ГРЛС, ГРМИ, Реестр продукции, прошедшей государственную регистрацию, МКБ10) Хорошие аналитические способности Умение работать в команде, готовность к многозадачности и высокая степень самоорганизации  Условия:  Интересная работа в инновационной быстрорастущей компании с перспективой развития на международных рынках Оформление согласно ТК РФ Бесплатная корпоративная связь Возможность профессионального роста в кросс-функциональной, энергичной молодой команде График работы 5/2, гибкое время начала рабочего дня, формат удалённой или частично-удалённой работы Комфортный офис в 5 мин. доступности от м. Ул. 1905 года (здание ЦМТ) ","Adobe Photoshop, CorelDRAW, Adobe Illustrator, Графический дизайн, Графические редакторы",От 1 года до 3 лет,Нет,АйДи-360,50000,90000,С вычетом налогов,Рубли,Москва,20:00:36 21/06/2006
Аналитик (Контур.Фокус),"Контур — ведущий разработчик веб-сервисов для бизнеса. Мы создаем решения, которые сохраняют время, деньги и нервные клетки бизнесменам и их сотрудникам по всей стране. Сейчас мы в поиске Аналитика в группу развития торговой марки Контур.Фокус. О группе развития Мы занимаемся проверкой гипотез, направленных на развитие группы продуктов, входящих в торговую марку Контур.Фокус, цели продуктов которой - помочь компаниям снизить риски ведения своего бизнеса. Мы помогаем продуктам находить новые ценности, функциональные сценарии, новых клиентов и новые рынки, чтобы увеличить выручку торговой марки Контур.Фокус. Чем предстоит заниматься  Проведение количественных и качественных исследований: сбор, анализ данных, их обработка, организация хранения, мониторинг; исследование конкурентной среды в РФ и за рубежом; проведение А/Б тестов. Интерпретация результатов исследований, написание выводов и рекомендаций, визуализация полученных данных. Анализ продуктов и фич, формирование предложений по улучшению продукта. Участие в разработке и написании продуктовых требований. Описание бизнес-процессов. Разработка и ведение документации проекта и проводимого исследования.  Необходимые опыт и навыки  Опыт проверки гипотез, участие/поддержка команды во время проверки гипотез. Опыт проработки требований и написания ТЗ. Уметь задавать как можно больше вопросов, докапываться до сути. Уметь формулировать требования к доставляемым данным, понимать уровень их достаточности для принятия решения. Системно мыслить, уметь выделять главное, расставлять приоритеты. Проявлять инициативу и самостоятельность. Быть готовым работать с задачами с высокой долей неопределенности.  Что предлагаем  Комфортный и современный офис с уютными переговорками, кухней, спортзалом, душем и велопарковкой. Лицензионное ПО и кучу внутренних сервисов, которые избавляют от излишней бюрократии. Неравнодушную команду, где не игнорируют вопросы, а готовы помочь. Возможность развиваться. Уровень заработной платы обсуждаем индивидуально.   ","Системное мышление, Аналитические исследования, Бизнес-анализ, Маркетинговые исследования",От 3 до 6 лет,Нет,Контур,30000,120000,С вычетом налогов,Рубли,Екатеринбург,20:54:02 01/05/2016
Менеджер отдела маркетинга и ИТ,"Компания &quot;Ремшип&quot; - лидер продаж ремонтных шипов на территории РФ, и является экспертом в области средств противоскольжения в автомобильной индустрии. Наша Компания очень динамично развивается и в настоящий момент насчитывает более 30 официальных представителей и партнеров по реализации ремонтных шипов в регионах России и СНГ. Мы ищем в нашу команду активного, самостоятельного человека, имеющего навыки работы в графических редакторах (Photoshop + Illustrator) и понимающего основы интернет-маркетинга. Если Вы начинающий специалист, но хотите развиваться в этой сфере, готовы обучить и предоставить возможности для роста. Основные задачи:   Печатная продукция(упаковка, маркетинговые материалы): правка макетов, взаимодействие с дизайнерами и типографиями, разработка и написание ТЗ для маркетинговых материалов;   Актуализация информации о продукции на сайте: описание, характеристики, цены, фотографии (как это делается, научим);   Предметная съемка и правка фото в графических редакторах (Photoshop). Возможна передача на аутсорс к контролем результата;   Генерация идей по повышению эффективности маркетинговых и рекламных каналов;   Поиск новых источников лидов;   Простейшее администрирование IT систем компании (завести пользователей, выдать права доступа и т.д.). Если навыков нет, всему научим)   Мы ожидаем, что у Вас есть:   Понимание основ интернет-маркетинга;   Навыки владения графическими редакторами;   Грамотная письменная речь;   Высшее образование (можно незаконченное с возможностью работать в офисе 5/2);   Высокий уровень самоорганизации и внимательность;   Вашими плюсами будут: умение качественно вести предметную съёмку/ретушировать фото, простейшие знания в сфере ИТ;  Готовность изучать новое.  Мы предлагаем:  Возможность привносить и реализовывать свои самые смелые идеи; Обучение на рабочем месте и всестороннюю поддержку в освоении новых навыков; Рост и развитие вместе с Компанией; Работу в молодом, дружном коллективе :) ","Креативность, Инициативность, Стрессоустойчивость, Исполнительность, Грамотная речь, Обработка изображений, Лидогенерация, SMM",От 1 года до 3 лет,Нет,Ремшип,50000,80000,С вычетом налогов,Рубли,Санкт-Петербург,04:19:19 26/12/2022
Front-End разработчик сайта sberbank.ru,"Наша команда поддерживает и развивает официальный сайт СберБанка — онлайн-витрину сервисов и продуктов банка и его экосистемы. Это один из самых посещаемых сайтов рунета с аудиторией около 25 миллионов пользователей в месяц. Вы — наш кандидат, если:  работали с React (или Vue) и стейт менеджерами у вас есть опыт разработки адаптивных и отзывчивых интерфейсов готовы использовать в проектах не только чистый Javascript, но и TypeScript умеете быстро разбираться с новым, не боитесь признавать ошибки и принимать обратную связь.  Будет классно, если это тоже про вас:  есть опыт разработки сложных фронтенд-сервисов с учётом UX, оптимизации клиентской производительности и поддержки доступности интерфейсов для незрячих и слабовидящих клиентов умеете писать юнит-тесты (банковские Quality Gate требуют 80% покрытия кода) использовали в работе NodeJS/Express/Next.js.  Условия Кроме зарплаты, вы получите:  рабочий ноутбук индивидуальный план адаптации и развития с доступом к лекциям, вебинарам, книгам и обучающим материалам любой специализации сообщество фронтенд-разработчиков и возможность участвовать в конференциях и внутренних митапах ДМС, страхование от несчастных случаев и тяжелых заболеваний для вас и ваших близких материальную помощь и социальную поддержку, корпоративную пенсионную программу скидки для сотрудников от партнёров экосистемы Сбера кредиты на льготных условиях. ","JavaScript, Базы данных, HTML, Cистемы управления базами данных, Python, 1С-Битрикс, Базовые знания SQL, Грамотная письменная речь, Работа с компьютером, XML, Databases, JS, Bitrix, Java Script, CSS, Git, SQL, PHP, MySQL, Java, Опрятность, Стремление развиваться, Готовность к командному труду",От 1 года до 3 лет,Нет,СБЕР,400,500,С вычетом налогов,Доллары,Москва,09:30:51 11/12/2014
Senior Devops Engineer (на проект EaaS),"МТС – одна из крупнейших российских экосистем. На базе основного телеком-бизнеса мы создаем цифровые продукты и сервисы во многих направлениях – от интернета вещей, искусственного интеллекта и больших данных до цифровой медицины и киберспорта, а также активно развиваем свои внутренние продукты. Мы создаём полностью управляемую платформу периферийных вычислений, поставляемую на площадку клиента, которая позволит предприятиям разворачивать требовательные к задержкам приложения быстро и без высоких стартовых затрат. Чем предстоит заниматься:  Проводить инсталляцию облачной платформы и сред виртуализации на основе OpenStack и Kubernetes; Обеспечивать стабильность работы, проводить диагностику ошибок работы в сервисах и исправление или эскалацию проблемы; Разрабатывать и поддерживать инструменты по развертыванию окружений (Dev, Stage, Prod); Автоматизировать деплой и процесс безопасного переключение на новую конфигурацию; Управлять системой доступов пользователей; Сопровождать команду разработки, автоматизировать процессы.  От Вас мы ждем:  Глубокое понимание Linux; Опыт участия в крупных проектах построения и поддержки отказоустойчивой системы на основе OpenStack в качестве ведущего инженера; Опыт работы с технологиями виртуализации (предпочтительно KVM, QEMU) и контейнеризации (Docker); Опыт работы с технологиями сетевой виртуализации (Linux Bridge, Open vSwitch); Опыт построения CI/CD Pipelines, опыт работы с системами контроля версий (предпочтительно GitLab); Опыт автоматизации рутинных операций с использованием Python и bash script; Умение работать с инструментами мониторинга приложений и инфраструктуры (Prometheus, Grafana); Знание основных сетевых протоколов и технологий: TCP, IPv4, IPv6, VLAN, DHCP, DNS, SNMP; Знание ключевых аспектов информационной безопасности.  Мы в свою очередь гарантируем:  Стабильную белую заработную плату, премии; Множество интересных и сложных проектов; Возможность работать удаленно из любого города; Бодрое утро - гибкое начало рабочего дня; Хакатоны, митапы, чемпионаты по программированию; Саморазвитие — мы сделали обучение доступным. Вы можете проходить тренинги очно, дистанционно, в Корпоративном университете, у провайдеров, у наставников; Здоровье своих сотрудников — ДМС со стоматологией, страхование жизни, страхование при поездках за рубеж; Спорт — корпоративные соревнования по футболу, баскетболу и волейболу, различные спорт-программы или компенсация вашего фитнес-абонемента; Хороший отдых — отпуск 28 календарных дней + 3 календарных дня дополнительно ежегодно, а также различные скидки на путешествия от наших партнеров; Компенсацию сотовой связи. ","Тестирование, QA, Ручное тестирование, Bug Reporting",От 3 до 6 лет,Нет,МТС,1000,1500,С вычетом налогов,Белорусские рубли,Москва,14:13:52 19/03/2009
Руководитель проекта по системам связи и информационным технологиям,"Обязанности: 1.Участие в формировании политики и стратегии развития в направлении связи и ИТ(информационная безопасность,системы связи,пожарная и транспортная безопасность,СКУД); 2.Постоянный мониторинг тенденций развития новой техники,продуктов и технологий; 3.Подготовка и проведение презентаций и иных мероприятий для продвижения решений компании на современном рынке; 4.Участие и контроль за выбором,подготовкой,внедрением информационных систем (ИС),оборудования и средств связи,СПО,автоматизированных рабочих мест (АРМ); 5.Работа с Заказчиком,сторонними организациями и подразделениями компании. Требования: -высшее инженерно-техническое образование -знание и практический опыт разработки и внедрения систем связи -знание основ архитектуры и функционирования современных систем связи; -техническая грамотность; -ответственность,обучаемость,jорганизаторские способности, умение расставлять приоритеты и добиваться поставленных целей. Условия: Оформление согласно ТК РФ; 5/2,полный рабочий день в современном офисе с бесплатной охраняемой парковкой; возможны командировки; испытательный срок до 3 месяцев; Уровень ЗП обсуждается индивидуально Оплата сотовой связи Бонусы по итогам работы","Организаторские навыки, Проведение презентаций, MS PowerPoint, Информационные технологии, Аналитическое мышление, Автоматизированное рабочее место (АРМ), техническая грамотность",От 3 до 6 лет,Нет,ПМЦ Авангард,80000,100000,С вычетом налогов,Рубли,Санкт-Петербург,19:14:16 31/12/2013
Senior Python Developer (Crypto),"With over 1,500 employees of more than 88 nationalities, Exness is the place for global teamwork, incredible leadership, a learning culture, and constant development. Unlimited by time zones, Exnessians from around the world have worked seamlessly together since 2008 to provide our traders with the best possible trading experience. Today, we stand proud with over 300,000 active traders and 2.5 trillion USD in monthly trading volume. Your role at Exness: We are looking for an experienced Python Engineer to join our Exness Technology team. The role will be focused on the implementation of complex business logic inside web stack in the area of financial and crypto markets. Working side-by-side with Product Managers, connecting ideas to the customers in the most optimal way. We&#39;re looking for a person who will extend, optimize, and support the production of the existing software solutions, ensuring we capture as much value from the market as possible. You will research and innovate new ideas in high reliable, low-latency, and high-load computing in financial markets. What You will do:  Software development; Highload and high available web stack services to support various customer journeys (Payments management); Supporting and back-office interfaces (Personal Area, Payment Solutions, Back Office); Blockchain and cryptocurrencies integration and development Internal auxiliary libraries, tools, integrations, interfaces, and frameworks supporting all components and services.  What you need to succeed:  You’re passionate about building a trading product that brings the world together; You have 5 years of commercial software development using Python and have excellent knowledge of its stack; You have a solid knowledge of general Computer Science and working experience with various system designs and integrational patterns, You have solid experience with ORM, DBMS, including database architecting; You cultivate DevOps culture and usage of relevant tools. You have solid experience with Operating Systems, Networking Models, virtualization, and containerization; You cover your software by unit tests, have experience in integrational and load tests; You can successfully interact with business functions using the English language.  Nice to have:  Knowledge and experience in cryptocurrencies integration (Ethereum/Bitcoin) Commercial experience with Go; Experience acting as a code reviewer; Experience in debugging, profiling, and code optimizations; Highload, concurrency &amp; multithreading backend systems development; Microservice development experience.  What we offer:  A fairly estimated and attractive package (competitive salary based on your expectations and internal benchmark) with the ability to start working remotely anywhere in the world; Company Car - the company will provide Exness-branded cars to those who relocated, parking near the office or a bus tickets; We’ll pay school or kindergarten fees (Annual Registration or Tuition Fees, Regular term fees, Half day service to kindergartens) for your children between 0 years - 18 years, up to three (3) children; L&amp;D - support your need to replenish your knowledge and acquire new skills to do your job better via: Continuous product education, Professional training &amp; Certifications, Soft skill training, Language classes, and our very own Exness library; Sports Benefits - Our very own Sports Club with dedicated coaches doing group and individual training, on-site and online, sharing healthy recipes and life hacks + Free Sanctum Club Membership for you and your spouse. Jet Skis (if you have a speed boat operator license); Medical - in addition to having a Corporate Doctor, we cooperate with one of the biggest international insurance companies in order to provide medical insurance for you and your families. Coverage is provided for you, your spouse, and your children up to 18 years old. It includes Inpatient, Outpatient, and international support.Sounds like you? Apply and we will arrange a video call:)       ","Development, Python, Agile, Blockchain, Information Technology",Более 6 лет,Нет,EXNESS Global Limited,4500,5500,С вычетом налогов,Евро,Москва,14:11:18 24/09/2016
